case_name,RoI,predict values,residuals,legend
office9_960_82_bout,207.26111111111112,206.5537918933134,-0.7073192177977319,Trainingoffice9
office9_660_0,186.1833333333333,186.46820442469232,0.28487109135900823,Trainingoffice9
office9_360_246_aout,184.51111111111112,184.25252093872805,-0.2585901723830659,Trainingoffice9
office9_960_0,202.5888888888889,202.07479919036686,-0.5140896985220422,Trainingoffice9
office9_960_246_bout,216.2111111111112,214.76915957834967,-1.4419515327615215,Trainingoffice9
office1_960_164_aout,157.66666666666669,162.27962215371636,4.612955487049675,Trainingoffice1
office1_0_205_aout,236.66060606060609,231.52708924018907,-5.1335168204170145,Trainingoffice1
office1_660_41_bout,179.65454545454546,181.9744587717053,2.3199133171598305,Trainingoffice1
office1_960_82_bout,195.5939393939394,195.60507711951928,0.011137725579885682,Trainingoffice1
office1_960_205_bout,167.34545454545454,170.5279196756847,3.182465130230156,Trainingoffice1
office1_960_246_bout,219.24242424242425,216.11357998875218,-3.128844253672071,Trainingoffice1
office1_660_164_bout,169.5090909090909,172.2796391360701,2.7705482269792014,Trainingoffice1
office1_960_205_aout,176.8848484848485,179.3184069181199,2.4335584332714006,Trainingoffice1
office1_0_123_bout,201.2969696969697,200.27676364019894,-1.0202060567707747,Trainingoffice1
office1_960_123_aout,217.7151515151515,215.24240954625597,-2.4727419688955194,Trainingoffice1
office1_0_164_bout,222.0606060606061,218.8329910124173,-3.2276150481887953,Trainingoffice1
office1_0_82_aout,188.71515151515152,189.42109767005394,0.7059461549024206,Trainingoffice1
office1_660_205_bout,175.9030303030303,177.92591867897968,2.0228883759493783,Trainingoffice1
office1_0_123_aout,218.4,215.5846790443935,-2.815320955606495,Trainingoffice1
office1_0_41_bout,224.86060606060605,221.5040396410294,-3.3565664195766374,Trainingoffice1
office1_960_82_aout,200.939393939394,200.8185854425435,-0.12080849685048634,Trainingoffice1
office1_0_246_bout,211.9939393939394,209.3963113655186,-2.597628028420786,Trainingoffice1
office1_0_0,222.339393939394,219.25618114656393,-3.083212792830068,Trainingoffice1
office1_0_82_bout,212.03030303030303,209.91893855987152,-2.1113644704315107,Trainingoffice1
office1_660_246_bout,173.2,175.31460162239352,2.114601622393536,Trainingoffice1
office1_0_246_aout,220.69090909090903,217.23276890996829,-3.4581401809407453,Trainingoffice1
office1_660_164_aout,158.23030303030302,162.52939760787712,4.299094577574095,Trainingoffice1
office1_0_205_bout,221.40606060606063,217.8724722753592,-3.533588330701434,Trainingoffice1
office1_660_123_bout,188.27878787878788,189.13267093181918,0.8538830530312964,Trainingoffice1
office1_660_246_aout,172.52727272727273,174.80881697757113,2.2815442502983956,Trainingoffice1
office1_960_123_bout,195.3212121212121,195.06741067533494,-0.2538014458771727,Trainingoffice1
office1_660_82_bout,221.030303030303,218.63148301867585,-2.3988200116271514,Trainingoffice1
office1_0_41_aout,226.7878787878788,223.48361547650546,-3.3042633113733473,Trainingoffice1
office1_960_41_bout,240.46666666666664,235.81149773473805,-4.655168931928586,Trainingoffice1
office1_660_41_aout,192.88484848484848,193.55459846075752,0.669749975909042,Trainingoffice1
office1_660_205_aout,187.1757575757576,188.09317734523825,0.9174197694806594,Trainingoffice1
office1_960_0,188.1151515151515,189.55841790075874,1.4432663856072452,Trainingoffice1
office1_660_123_aout,159.1939393939394,163.25225184778958,4.058312453850192,Trainingoffice1
office1_660_82_aout,148.64848484848486,154.48325552113172,5.834770672646869,Trainingoffice1
office1_0_164_aout,219.6909090909091,216.4220106463998,-3.26889844450929,Trainingoffice1
office1_960_246_aout,196.05454545454543,196.1260150956998,0.07146964115437981,Trainingoffice1
office1_960_41_aout,163.49696969696967,167.47286535045785,3.9758956534881804,Trainingoffice1
office1_960_164_bout,170.92727272727274,173.72759685144692,2.800324124174182,Trainingoffice1
office1_660_0,174.87878787878788,177.43954881667506,2.5607609378871814,Trainingoffice1
office6_360_164_bout,172.92121212121214,175.07835354579927,2.157141424587138,Trainingoffice6
office6_660_246_aout,207.2363636363636,204.945108489677,-2.2912551466865807,Trainingoffice6
office6_660_82_bout,211.3454545454545,209.05155194267365,-2.2939026027808325,Trainingoffice6
office6_660_82_aout,208.5757575757576,206.89520662287094,-1.680550952886648,Trainingoffice6
office6_660_164_bout,205.0727272727273,203.16938843326312,-1.903338839464169,Trainingoffice6
office6_0_164_aout,185.1636363636364,185.69056512358472,0.526928759948305,Trainingoffice6
office6_0_82_aout,143.96363636363637,149.56789236026862,5.604255996632247,Trainingoffice6
office6_660_164_aout,190.8,190.85087852707014,0.0508785270701253,Trainingoffice6
office6_660_246_bout,206.8181818181818,204.6230114842438,-2.195170333938023,Trainingoffice6
office6_360_246_bout,199.52121212121213,198.30516752741215,-1.2160445937999782,Trainingoffice6
office6_960_82_aout,199.7636363636364,198.75269618440683,-1.0109401792295785,Trainingoffice6
office6_360_82_bout,187.3696969696969,188.15124500967593,0.7815480399790431,Trainingoffice6
office6_360_82_aout,170.5212121212121,173.1275988911565,2.6063867699444074,Trainingoffice6
office6_0_0,162.64848484848486,165.85735171060483,3.208866862119976,Trainingoffice6
office6_960_164_bout,214.2848484848485,211.94545771415216,-2.3393907706963546,Trainingoffice6
office6_0_246_aout,161.9030303030303,164.8743485001946,2.971318197164294,Trainingoffice6
office6_360_164_aout,196.2969696969697,195.92667809819466,-0.37029159877505435,Trainingoffice6
office6_360_0,159.92727272727274,163.9514102084883,4.0241374812155755,Trainingoffice6
office6_0_82_bout,159.33939393939394,162.94132105585223,3.6019271164582847,Trainingoffice6
office6_960_246_aout,225.3818181818182,221.06898680688758,-4.312831374930624,Trainingoffice6
office6_960_164_aout,227.88484848484845,223.82729413972993,-4.057554345118518,Trainingoffice6
office6_0_164_bout,148.87878787878788,153.3828808590998,4.504092980311924,Trainingoffice6
office6_0_246_bout,130.75757575757575,137.02444917454704,6.266873416971293,Trainingoffice6
office6_960_82_bout,197.1090909090909,196.64393858687413,-0.46515232221676683,Trainingoffice6
office6_660_0,215.78787878787875,212.84835998577813,-2.939518802100622,Trainingoffice6
office6_360_246_aout,195.01818181818183,194.39850077261002,-0.6196810455718094,Trainingoffice6
office6_960_0,240.76363636363635,235.40180769276014,-5.361828670876207,Trainingoffice6
office6_960_246_bout,218.05454545454543,214.80764146121453,-3.2469039933309034,Trainingoffice6
office14_360_164_bout,119.7095238095238,116.29080441905234,-3.418719390471466,Trainingoffice14
